Issue Type,Summary,Description,Epic Name,Epic Link,Sprint,Due Date,Labels,Priority
Epic,1° Entrega - Mocks y flujo de datos,Epic que agrupa todo lo requerido para la primera entrega del TPO: mocks de vistas y flujo de datos.,1ra Entrega,,,16/09/2026,entrega1,Highest
Epic,2° Entrega - Funcional con integraciones mockeadas,Epic que agrupa el módulo funcional end-to-end con las integraciones a otros módulos mockeadas.,2da Entrega,,,11/11/2026,entrega2,Highest
Epic,Entrega Final - Integrado,Epic que agrupa la integración real con el resto del sistema y la documentación final.,Entrega Final,,,02/12/2026,entregafinal,Highest
Epic,Taller Práctico,Taller práctico con materiales robóticos - se evalúa con nota propia (>=4) separada del TPO.,Taller Practico,,,02/09/2026,taller,High
Story,Definir modelo de dominio,"Definir entidades y atributos: Evento (locación, cupo, fecha/hora inicio-fin, gratuito/pago, precio), Locación, Inscripción, Usuario (rol), Asistencia.",,1ra Entrega,Sprint 1,12/08/2026,dominio,Highest
Story,Formalizar reglas de negocio - solapamiento de horarios,Definir cómo se detecta el solapamiento de horarios para la misma locación y para el mismo usuario inscripto en dos eventos concurrentes.,,1ra Entrega,Sprint 1,19/08/2026,reglas-negocio,Highest
Story,Formalizar reglas de negocio - cobro y cancelación,Definir qué pasa si un evento pago se cancela o si falla el cobro a la cuenta institucional.,,1ra Entrega,Sprint 2,19/08/2026,reglas-negocio,High
Story,Formalizar reglas de negocio - verificación de asistencia,Definir cómo se marca y valida la asistencia a un evento.,,1ra Entrega,Sprint 2,26/08/2026,reglas-negocio,High
Story,Formalizar reglas de negocio - recordatorio de evento,Definir cuándo y cómo se dispara el recordatorio automático una semana antes del evento al que el usuario está inscripto.,,1ra Entrega,Sprint 2,26/08/2026,reglas-negocio,Medium
Story,Definir roles y permisos del módulo,Definir qué puede hacer un administrativo (alta/gestión de eventos) vs. un estudiante/docente (consulta/inscripción).,,1ra Entrega,Sprint 1,12/08/2026,permisos,High
Story,Definir stack tecnológico,Elegir y justificar backend/base de datos/framework de frontend a usar en el módulo.,,1ra Entrega,Sprint 2,26/08/2026,arquitectura,High
Story,Definir contrato de integración con CORE,"Acordar con el equipo de CORE el contrato de autenticación (login con mail institucional), notificaciones y descuento de saldo para inscripciones pagas.",,1ra Entrega,Sprint 3,02/09/2026,integracion,Highest
